update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1947.2518755476688,16,0.0,0.0,0,0,0.0,0.0,0,0,1.932714857161045,-0.10375179257243872,-0.02511985774617642,0.00118114869837882,0.031227446482553663,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,2012.3029230035268,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9334831684827805,-0.08816889813169837,-0.01482666312949732,0.00012056500008839066,0.006887314379185541,0.0,0.0,0,0
3,12288,2011.3410038049524,20,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9381390139460564,-0.0651938000228256,-0.025340789929032326,0.0006454255235439632,0.009853717680714497,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
4,16384,1958.4269065738895,22,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9434940740466118,-0.05694318236783147,-0.009983950410969555,2.4567259401919728e-05,0.0026844932891396498,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
5,20480,2053.6974467014834,24,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355,357.65625,13.049447725382864,285.0,360.0,1.9436789080500603,-0.047794290352612734,-0.008662335982080549,2.608875900023122e-05,0.0025033804576674377,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355
6,24576,2043.4486138937484,26,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776,358.28125,9.5695949986141,305.0,360.0,1.9430545344948769,-0.03522906615398824,-0.012907881813589483,0.0002065602038783254,0.0047460378485162,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776
7,28672,2058.859525030194,28,0.05601562513038516,0.19172414727864096,0.0,0.8525000214576721,341.34375,66.27811166544728,59.0,360.0,1.9346569776535034,-0.023804375086911023,-0.010186213097767904,0.0014734879323441419,0.019057724805000058,0.05601562513038516,0.19172414727864096,0.0,0.8525000214576721
8,32768,1983.535053995745,30,0.0575781250372529,0.19339330614786038,0.0,0.8525000214576721,340.71875,66.71077235677534,59.0,360.0,1.9411131888628006,-0.029935493250377476,-0.006927899434231222,0.0002400765411039174,0.00806246807973432,0.0575781250372529,0.19339330614786038,0.0,0.8525000214576721
9,36864,2058.859525030194,32,0.03093749936670065,0.1305677928233045,0.0,0.7024999856948853,350.125,43.512031382136136,119.0,360.0,1.9442421421408653,-0.028620688477531075,-0.008839334506774321,7.144568280637031e-05,0.003837771698561887,0.03093749936670065,0.1305677928233045,0.0,0.7024999856948853
