update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1995.6487073952474,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9321644306182861,-0.09649546025320888,-0.022264358878601342,0.0014931137484381907,0.03204375654337049,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,1997.5939372213536,17,0.0,0.0,0.0,0.0,125.0,125.0,0.0,250.0,1.9310571178793907,-0.07755235908553004,-0.020854872651398182,0.00029567014007625403,0.010110193467731473,0.0,0.0,0.0,0.0
3,12288,1982.1228217106172,19,0.020337499678134918,0.11323440593698664,0.0,0.6507999897003174,300.21875,65.26567549974105,97.0,360.0,1.9380835443735123,-0.05602212413214147,-0.01909658225486055,0.0010029487621068256,0.00967354106412746,0.020337499678134918,0.11323440593698664,0.0,0.6507999897003174
4,16384,1992.7332172713984,21,0.020337499678134918,0.11323440593698664,0.0,0.6507999897003174,300.21875,65.26567549974105,97.0,360.0,1.9426284506917,-0.04706515884026885,-0.012136409583035856,0.00010550228444117238,0.0043328572125091586,0.020337499678134918,0.11323440593698664,0.0,0.6507999897003174
5,20480,2023.255030412063,23,0.01797500066459179,0.10008056812216011,0.0,0.5752000212669373,297.4375,62.976651179226735,118.0,360.0,1.9402562379837036,-0.037282438250258565,-0.009799824940273538,0.0007524248148911283,0.008229479751001252,0.01797500066459179,0.10008056812216011,0.0,0.5752000212669373
6,24576,2004.455243020464,25,0.041550000198185444,0.13261337748977858,0.0,0.5752000212669373,296.0625,69.6387722016263,118.0,360.0,1.9367220103740692,-0.024470489122904837,-0.012155885982792825,0.0005642283240376855,0.01136693939551752,0.041550000198185444,0.13261337748977858,0.0,0.5752000212669373
7,28672,2032.291102010552,27,0.060337500646710396,0.18846493547216583,0.0,0.7264000177383423,287.40625,80.221123844892,76.0,360.0,1.935200147330761,-0.014432427982683294,-0.011005759733961895,0.0013199123204685748,0.020281790285850518,0.060337500646710396,0.18846493547216583,0.0,0.7264000177383423
8,32768,1969.7280062371374,30,0.0733625004068017,0.19800608379767917,0.0,0.7264000177383423,243.40625,59.1242649927887,76.0,360.0,1.9413821697235107,-0.009265656000934541,-0.004415182302182075,0.00020590955409716116,0.007581794911538021,0.0733625004068017,0.19800608379767917,0.0,0.7264000177383423
9,36864,2038.8402238468982,32,0.02297187503427267,0.09655461295572386,0.0,0.5175999999046326,299.90625,61.03910599720068,134.0,360.0,1.9413402751088142,-0.0052366552663443144,-0.0053859445615671575,0.0004007088673461112,0.01182332226618996,0.02297187503427267,0.09655461295572386,0.0,0.5175999999046326
10,40960,2037.3346412852525,34,0.04268437437713146,0.14460982382061474,0.0,0.6474999785423279,293.65625,67.69259993483409,134.0,360.0,1.9391777217388153,0.0005202849461056758,-0.003747563823708333,0.0008821384435577784,0.016689082942856908,0.04268437437713146,0.14460982382061474,0.0,0.6474999785423279
11,45056,2027.7543834883354,36,0.07842812407761812,0.16744755640688808,0.0,0.6474999785423279,268.3125,61.199692350125424,134.0,360.0,1.9309168756008148,0.010188399122853298,-0.0059282227157382295,0.0010003520437749103,0.018658337989589685,0.07842812407761812,0.16744755640688808,0.0,0.6474999785423279
12,49152,1999.5476174126309,38,0.06982187554240227,0.1965369093818078,0.0,0.8848000168800354,282.46875,79.18529865724761,32.0,360.0,1.9348028600215912,0.011862741579534486,-0.006647485512075946,0.0019074488009209745,0.026305523099813034,0.06982187554240227,0.1965369093818078,0.0,0.8848000168800354
13,53248,2011.3294654166357,40,0.13135937531478703,0.2608105180487802,0.0,0.8848000168800354,268.4375,92.99628268780425,32.0,360.0,1.9264246299862862,0.020456141035538167,-0.010759919532574713,0.0024000935300136916,0.02322194544513995,0.13135937531478703,0.2608105180487802,0.0,0.8848000168800354
14,57344,2009.3557607837904,42,0.21441250038333237,0.30413406064588294,0.0,0.8848000168800354,225.40625,86.11469799597221,32.0,360.0,1.9266781210899353,0.030465623480267823,-0.005991444548271829,0.0027400965191191062,0.020602933801586468,0.21441250038333237,0.30413406064588294,0.0,0.8848000168800354
15,61440,2054.7258736807585,44,0.1549718752503395,0.2777850148459524,0.0,0.8560000061988831,259.5,92.2974132898642,40.0,360.0,1.925535537302494,0.030462254071608186,-0.0071660305256955326,0.0022815666379756294,0.027456375158772847,0.1549718752503395,0.2777850148459524,0.0,0.8560000061988831
16,65536,2048.5575247799243,46,0.23637500125914812,0.3290484274417727,0.0,0.8740000128746033,219.125,96.66881283537106,35.0,360.0,1.9131301864981651,0.04924920853227377,-0.013732154620811343,0.004961475540767424,0.03722339940246051,0.23637500125914812,0.3290484274417727,0.0,0.8740000128746033
17,69632,2010.3428344013703,48,0.26213437551632524,0.32896919476426556,0.0,0.9100000262260437,231.4375,115.2429329449316,25.0,360.0,1.9086520075798035,0.056830236222594976,-0.009995439220801927,0.004366334818769246,0.030579669526099855,0.26213437551632524,0.32896919476426556,0.0,0.9100000262260437
18,73728,2003.4571191606594,50,0.2747500017285347,0.3049853376174949,0.0,0.9100000262260437,227.0625,102.5810464644907,25.0,360.0,1.8990523293614388,0.06560852844268084,-0.011899897363036871,0.004375011863885447,0.029944227401230608,0.2747500017285347,0.3049853376174949,0.0,0.9100000262260437
19,77824,2032.2915828300575,52,0.35080312844365835,0.3108289795078793,0.0,0.8920000195503235,192.9375,87.30261218170966,30.0,360.0,1.8792398422956467,0.08132743882015347,-0.016326900018611923,0.0057579599088057876,0.03779827181910317,0.35080312844365835,0.3108289795078793,0.0,0.8920000195503235
