update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1963.1230788129071,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9327148497104645,-0.1037517930381,-0.02511985832825303,0.0011811486510850955,0.03122744334702378,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,1960.3058082089742,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9334831461310387,-0.08816890185698867,-0.014826664701104164,0.00012056501873303205,0.006887313719145815,0.0,0.0,0,0
3,12288,1950.0379209213875,20,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9381389319896698,-0.06519377278164029,-0.025340809719637036,0.0006454240210587159,0.009851469176861506,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
4,16384,1998.57483358655,22,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9434969946742058,-0.05694276583380997,-0.009982738934922963,2.4548990950279403e-05,0.0026824771098832734,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
5,20480,1976.388896475202,24,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355,357.65625,13.049447725382864,285.0,360.0,1.943676583468914,-0.04779799864627421,-0.008662493783049285,2.6200150045951887e-05,0.002514770015773737,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355
6,24576,1986.9373699387502,26,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776,358.28125,9.5695949986141,305.0,360.0,1.9431046396493912,-0.03523856680840254,-0.012904045812319964,0.00020656009246522444,0.004825321068997599,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776
7,28672,2038.3675403989607,28,0.034062500577419996,0.15268783605273553,0.0,0.8525000214576721,348.875,52.934363838625664,59.0,360.0,1.9397941455245018,-0.02642322378233075,-0.006969168316572905,0.0010381754802892829,0.008623848635539801,0.034062500577419996,0.15268783605273553,0.0,0.8525000214576721
8,32768,1947.2556276456185,30,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721,350.59375,52.371783537869895,59.0,360.0,1.9449898973107338,-0.027043618843890727,-0.005393974744947627,3.405527218092175e-05,0.0022333932721361758,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721
9,36864,1947.2554069335742,32,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9450046196579933,-0.020670264842920005,-0.006510043487651274,4.099525858691777e-05,0.002234779832254277,0.0,0.0,0.0,0.0
