update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1946.3315035638643,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9292637705802917,-0.10708805453032255,-0.02393894095439464,0.0011179468820046168,0.026141558903473364,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,1969.735007169867,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9364277720451355,-0.08418029267340899,-0.014810768887400627,0.00011788643178078928,0.007765473692538803,0.0,0.0,0,0
3,12288,1960.3062555697427,20,0.006796875037252903,0.03784339861102569,0.0,0.2175000011920929,178.53125,178.71240590243727,0.0,360.0,1.9379155337810516,-0.06809151219204068,-0.018873362336307764,0.0003336008167025284,0.008867691692647499,0.006796875037252903,0.03784339861102569,0.0,0.2175000011920929
4,16384,1961.2450443652303,22,0.006796875037252903,0.03784339861102569,0.0,0.2175000011920929,178.53125,178.71240590243727,0.0,360.0,1.9426158294081688,-0.05607654550112784,-0.010100543324369937,3.623390966822626e-05,0.00307740115523261,0.006796875037252903,0.03784339861102569,0.0,0.2175000011920929
5,20480,1965.9522832970256,24,0.006796875037252903,0.03784339861102569,0.0,0.2175000011920929,498.53125,141.69729716348687,313.0,640.0,1.9393134340643883,-0.04544237372465432,-0.012202719575725496,7.979832389537478e-05,0.004431606774870433,0.006796875037252903,0.03784339861102569,0.0,0.2175000011920929
6,24576,1996.6249093057027,26,0.0,0.0,0.0,0.0,500.0,140.0,360.0,640.0,1.9419773370027542,-0.03532251180149615,-0.009225266054272652,6.230790040717693e-05,0.003952938249483203,0.0,0.0,0.0,0.0
7,28672,1970.6826246526473,28,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721,481.84375,157.27486078816762,59.0,640.0,1.9402941167354584,-0.027036917628720403,-0.006721017329255119,0.0011303748842692585,0.009470507301540738,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721
8,32768,1977.5976292590906,30,0.034296875819563866,0.1530053580363273,0.0,0.8525000214576721,471.28125,157.64799284620625,59.0,640.0,1.943094216287136,-0.02573118289001286,-0.006414793984731659,0.00014605977366954903,0.004399411079691643,0.034296875819563866,0.1530053580363273,0.0,0.8525000214576721
9,36864,2003.4512782711226,32,0.034296875819563866,0.1530053580363273,0.0,0.8525000214576721,348.78125,53.014581941551704,59.0,360.0,1.9443279132246971,-0.020726198912598193,-0.0051018226076848805,2.8380066737554444e-05,0.0018176696228838956,0.034296875819563866,0.1530053580363273,0.0,0.8525000214576721
10,40960,2011.3346459011368,34,0.007656250149011612,0.0426281967325789,0.0,0.24500000476837158,498.1875,142.15955769398693,302.0,640.0,1.9450175985693932,-0.015021576720755547,-0.0040484714263584465,1.2480063958264509e-05,0.0011608700960135583,0.007656250149011612,0.0426281967325789,0.0,0.24500000476837158
11,45056,2005.4126925613564,36,0.0,0.0,0.0,0.0,500.0,140.0,360.0,640.0,1.9453622847795486,-0.012891536287497729,-0.0023727594380034134,7.757852245049435e-06,0.0009003924283106208,0.0,0.0,0.0,0.0
12,49152,2000.5388202390395,38,0.0035156249068677425,0.01957417106953583,0.0,0.11249999701976776,499.84375,140.15886285189924,355.0,640.0,1.9450482428073883,-0.009714284213259816,-0.0026810700219357386,3.2619685498502804e-05,0.0015113838894059684,0.0035156249068677425,0.01957417106953583,0.0,0.11249999701976776
13,53248,2017.2675168375017,40,0.019999999087303877,0.09322561223136715,0.0,0.5274999737739563,485.75,147.82252872955462,189.0,640.0,1.942785196006298,-0.006268489214562578,-0.0035911605664296076,0.0005040000617100304,0.005633208041966371,0.019999999087303877,0.09322561223136715,0.0,0.5274999737739563
14,57344,1937.5538099894854,43,0.02804687386378646,0.10186489976072606,0.0,0.5274999737739563,466.28125,146.94519266868684,189.0,640.0,1.9440034627914429,-0.005618496536044404,-0.0023992874921532348,0.0001031391182095831,0.0037584505069587692,0.02804687386378646,0.10186489976072606,0.0,0.5274999737739563
15,61440,1986.9265694352853,45,0.032890625298023224,0.14401756505420854,0.0,0.7950000166893005,489.34375,158.14344939306687,82.0,640.0,1.94187031686306,0.001691035757175996,-0.004095594027603511,0.0009934216814144747,0.0114505807430192,0.032890625298023224,0.14401756505420854,0.0,0.7950000166893005
16,65536,2000.5145930965418,47,0.024843750521540642,0.13832414879287375,0.0,0.7950000166893005,491.3125,156.1158298948252,82.0,640.0,1.9426824375987053,0.002471152285579592,-0.0012822794888052158,0.00026454329145053634,0.006940118164610752,0.024843750521540642,0.13832414879287375,0.0,0.7950000166893005
